complexity	rx	comment
1	CO.C[C@@H](NC(=O)N1C(=O)NC(=O)[C@]12CCOc1ccc(F)cc12)c1ccccc1.[Na+]>>O=C1NC(=O)[C@]2(CCOc3ccc(F)cc32)N1	ok
1	CC#N.CCO.CCOCC.COc1cc(-c2n(N=Cc3ccc(N(C)C)cc3)cc[n+]2CC(=O)c2ccc(N(C)C)cc2)cc(OC)c1OC.[Br-]>>COc1cc(-c2nccn2N=Cc2ccc(N(C)C)cc2)cc(OC)c1OC	incorrect direction of the reaction. The substrate should be the product and vice versa.
1	CCC(=O)OC.[N-]=[N+]=N[C@H]1NC(=O)[C@H]1NC(c1ccccc1)(c1ccccc1)c1ccccc1>>O=C1NCC1NC(c1ccccc1)(c1ccccc1)c1ccccc1	highly suspicious
1	Cl[Pb](Cl)(c1ccccc1)c1ccccc1.O=Cc1ccccc1O.[Na]>>c1ccc([Pb]c2ccccc2)cc1	ok
1	CC(C)(C)N[SiH2]N([SiH2]NC(C)(C)C)C(C)(C)C.CC(C)(C)N[SiH](NC(C)(C)C)NC(C)(C)C.Cl>>CC(C)(C)N[SiH2]NC(C)(C)C	highly suspicious
1	CC(C)[P+](OC=C(Cl)Cl)(C(C)C)C(C)C.O=CC(Cl)(Cl)Cl.[Cl-]>>CC(C)P(C(C)C)C(C)C	highly suspicious
1	CC(C)(C)ON(C=O)CC(=O)N1CCN(c2ccc(Cl)cc2)CC1.Cl>>NCC(=O)N1CCN(c2ccc(Cl)cc2)CC1	looks like incorrectly written N-Boc deprotection
1	COCOc1ccc(C(OC(=O)c2ccccc2)[C@@H](C(=O)OC)N(C)Sc2ccccc2[N+](=O)[O-])cc1.O=C(O)C(F)(F)F.O=C(O)O.Sc1ccccc1.[Na+]>>CN[C@H](C(=O)OC)C(OC(=O)c1ccccc1)c1ccc(OCOC)cc1	ok
1	C1CCOC1.CC(C)O[Si](C)(Cn1cncn1)c1ccc(-c2ccccc2)cc1.Cl.O>>C[Si](O)(Cn1cncn1)c1ccc(-c2ccccc2)cc1	ok
1	CC(=O)O.CCCC[Sn+](CCCC)CCCC.CCOP([O-])OCC>>CCCC[Sn+2](CCCC)CCCC	highly suspicious
2	COCC(C)O.C[N+]12CCCC1(c1ccccc1)c1[nH]c3ccccc3c1CC2.N.[I-].[Li]>>CN1CCCC(c2ccccc2)c2[nH]c3ccccc3c2CC1	ok
2	CC(C)(Oc1ccc(C(=O)c2cccs2)cc1)C(=O)O.O=C(c1ccc(O)cc1)c1cccs1.O=S(=O)(O)O>>COC(=O)C(C)(C)Oc1ccc(C(=O)c2cccs2)cc1	substrate for esterification reaction is missing
2	BrBr.COC(=O)CCC(=O)CBr.ClCl>>COC(=O)CCC(=O)CCl	ok
2	C=CC(=O)OCC.CC(C)(C)ON=O.Cl.Nc1nc2c(Cl)cc(F)cc2s1>>CCOC(=O)C=Cc1nc2c(Cl)cc(F)cc2s1	ok
2	CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C.O=C(NCC(c1ccccc1)c1ccccc1)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccccc1[N+](=O)[O-].OCCc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C	ok
2	CC(=N)N.O=S(=O)(Cl)C=Cc1c(Cl)cccc1Cl>>CC(N)=NS(=O)(=O)C=Cc1c(Cl)cccc1Cl	ok
2	CC(=O)O.COCc1cc(OC)cc([C@H](Nc2ccc(C(=N)N)cc2)c2nn(-c3ncccn3)c(=O)[nH]2)c1.COc1cc(C(C#N)Nc2ccc(-c3noc(C)n3)cc2)cc2c1OCC(=O)N2CCF>>COc1cc([C@H](Nc2ccc(C(=N)N)cc2)c2nn(-c3ncccn3)c(=O)[nH]2)cc2c1OCC(=O)N2CCF	incorrect structure of substrates or product. Reaction type described by this entry remains unknown.
2	C1COCCO1.CC(C)(C)OC(=O)NC[C@H]1CC[C@H](C(=O)NC(=O)[C@@H](N)Cc2ccccc2)CC1.Cl>>CNC(=O)[C@@H](N)Cc1ccccc1	multistep
2	C=CCSC1=NCCS1.CCN(CC)C(=O)n1cnc(S(=O)(=O)C(F)(F)Br)n1.O=P(O)(O)O.O=S([O-])S(=O)[O-].[Na+].[Na+].[Na+].[Na+]>>C=CCC(F)(F)S(=O)(=O)c1ncn(C(=O)N(CC)CC)n1	ok
2	CCCCCCCCCCCCCCCCSCC(CBr)OCC.CCCCCCCCCCCCCCCCSCC(C[N+](C)(C)CCO)OC.CN(C)CCO.[Br-]>>CCCCCCCCCCCCCCCCSCC(C[N+](C)(C)CCO)OCC	ok
2	CC(=O)c1cccc(F)c1.CCOC(=O)CC(=O)c1ccc(C2CCCCC2)cc1>>CCOC(=O)CC(=O)c1cccc(F)c1	highly suspicious. Probably incorrect entry.
2	C1=NCCCN2CCCCC12.O=C(COc1ccccc1)NC1C(=O)N2C1SCN(S(=O)(=O)C(F)(F)F)C2C(=O)OCc1ccccc1.O=P(O)(O)O>>O=C(COc1ccccc1)NC1C(=O)N2C(C(=O)OCc3ccccc3)=NCSC12	ok
2	COc1ccc(-n2ccc(C(F)(F)F)n2)cc1.O=C(O)C(F)(F)F>>COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)O)cc1	highly suspicious.Reaction type described by this entry remains unknown.
2	CC(=O)O.CCSSCC.C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]2Cc3ccc(COCCO)nc3N12.[Li]CCCC.[NH4+]>>CCSc1ccc2c(n1)N1[C@H](C)CN(C(=O)OC(C)(C)C)C[C@H]1C2	highly suspicious. Could either be multistep or incorrect structure of substrate or product.
2	CCOC(=O)c1ccc(N(CCOc2cccc3ccccc23)C(=O)C(F)(F)F)cc1.ClCCl.N#CBr.[Al+3].[Cl-].[Cl-].[Cl-]>>CCOC(=O)c1ccc(N(CCOc2ccc(C#N)c3ccccc23)C(=O)C(F)(F)F)cc1	ok
2	Cc1cn(CCCN)c(Cc2ccccc2)n1.O=Cc1ccc(Cl)cc1.[BH4-].[Na+]>>NCCCCc1ccc(Cl)cc1	highly suspicious. Could either be multistep or incorrect structure of substrate or product.
2	CC1=NNC(=O)C1.Cc1ccc2c(N3CCN(CCc4cccc(I)c4)CC3)cccc2n1>>CC1=NN(c2cccc(CCN3CCN(c4cccc5nc(C)ccc45)CC3)c2)C(=O)C1	ok
2	CC(C)(C)OC(=O)N[C@@H]1CCCc2cc(C=O)ccc21.CC(C)(O)C#N.CCOP(=O)(C#N)OCC.C[Si](C)(C)[N-][Si](C)(C)C.[Na+]>>CC(C)(C)OC(=O)N[C@@H]1CCCc2cc(/C=C/C#N)ccc21	Incorrect structure of one of the substate. Should be dicyanomethylphosphonate.
2	CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cc([N+](=O)[O-])cc4c3[C@@H](CN4)C[C@H]2N(C)C1.CS[S+](C)C.F[B-](F)(F)F.N>>CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cc([N+](=O)[O-])cc4c3[C@H](C[C@H]2N(C)C1)CN4SC	ok
2	CC(OC(=O)OC1CC(=O)NC1=O)OC(=O)C(C)C.CCCC(=O)OC(C)OC(=O)SC>>CCCC(=O)OC(C)OC(=O)OC1CC(=O)NC1=O	highly suspicious
3	CN(C)c1ccc([N+]#N)cc1Oc1ccccc1.CN(C)c1ccccc1Oc1ccccc1.COS(=O)(=O)OC.F[As-](F)(F)(F)(F)F.N#[N+]c1cc(Cl)ccc1Cl.Nc1ccccc1Oc1ccccc1.[Cl-]>>CN(C)c1ccc(N=Nc2cc(Cl)ccc2Cl)cc1Oc1ccccc1	ok
3	CC(C)=O.COc1cccc(CCC2C(=O)OC(=O)N2C)c1OC.O.[Al+3].[Cl-].[Cl-].[Cl-]>>CNC1CCc2c(ccc(OC)c2OC)C1=O	ok
3	C=CC(=O)c1ccsc1.ClCCl>>O=C(CCCl)c1ccsc1	ok
3	CC(C)(C)OC(=O)CBr.COCCBr.COCCOc1ccc(-c2ccc(Cl)cc2)c(-c2ccc3cc(-c4nc5cc(C(=O)O)ccc5n4C4CCCCC4)ccc3n2)c1>>O=C(O)COc1ccc(-c2ccc(Cl)cc2)c(-c2ccc3cc(-c4nc5cc(C(=O)O)ccc5n4C4CCCCC4)ccc3n2)c1	multistep
3	F.FS(F)(F)F.O=C1Cc2ccccc2N(Cc2ccccc2)c2ccccc21>>FC1=Cc2ccccc2N(Cc2ccccc2)c2ccccc21	ok
3	CC(O)C(=O)O.O=C(O)C(=O)O.O=C(O)C(O)CO.O=C(O)CO.O=C(O)O.O=C(O)[C@H](O)[C@H](O)CO>>O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	highly suspicious
3	CC1(CC(=O)Nc2ccccc2)OCCS1>>CC1=C(C(=O)Nc2ccccc2)SCCO1	ok
3	C[Si](C)(C)N=C=O.Cc1c(N2CCCC2CC(=O)NN)ccc(C#N)c1Cl>>Cc1c(N2CCCC2CC(=O)NNC(N)=O)ccc(C#N)c1Cl	ok
3	CC(C)(C)OC(=O)NC(=N)N1C=CCN1C(=N)NC(=O)OC(C)(C)C.NCCNc1nc2ccccc2n1C1CCN(C2(c3ccccc3)CCCCCC2)CC1.O>>N=C(N)NCCNc1nc2ccccc2n1C1CCN(C2(c3ccccc3)CCCCCC2)CC1	highly suspicious
3	CCN=C=NCCCN(C)C.CNOC.Cl.Cl.NS(=O)(=O)c1cccc(C(=O)O)c1.O=S(=O)(O)O.On1nnc2ccccc21.[K+]>>CCC(N)c1cccc(S(N)(=O)=O)c1	multistep
3	BrCOc1ccccc1.COC(=O)C(=O)c1ccccc1.Cc1ccccc1C(O)(C(=O)O)c1ccccc1.O=C(O)C(=O)c1ccccc1>>COc1ccccc1C(O)(C(=O)O)c1ccccc1	highly suspicious. Insertion of the oxygen between  methyl and aryl remains unknown.
3	C=C[Mg]Br.Cc1ccc(S(=O)(=O)O)cc1.Cc1nc2c(N)cc(Br)cc2n1C.O.O=Cc1ccccc1.[Cl-].[NH4+]>>C=CC(Nc1cc(Br)cc2c1nc(C)n2C)c1ccccc1	ok
3	C#CCN1CCC(O)N(c2nnc(S(C)=O)s2)C1=O.S=C(Cl)OC1CC1.c1ccncc1>>C#CCN1CCC(OC(=S)C2CC2)N(c2nnc(S(C)=O)s2)C1=O	Incorrect structure either of the product or the acyl chloride substrate (missing oxygen)
3	CC(C)C[AlH]CC(C)C.CC1(C)COC(c2cc(Br)ccc2CCc2ccccc2)=N1.Cl>>CC(C)(CO)NCc1cc(Br)ccc1CCc1ccccc1	ok
3	CCCCNc1cc(N)[n+](CCCC)c(Cl)c1C#N.CCN(CC)CC.O.[Cl-]>>CCCCNc1cc(N)n(CCCC)c(=O)c1C#N	ok
3	CC(O)C(C)O.COC(CN(C)C(=O)CCl)OC.Cc1ccc(S(=O)(=O)O)cc1>>CC1OC(N(C)C(=O)CCl)OC1C	multistep and incorrect structure of the substrate or product
3	COc1ccc(C(F)(F)C(F)(F)F)cc1NC(=O)Nc1ccc(Oc2ccnc(N)n2)c2ccccc12.F[B-](F)(F)F.O=[N+]=O>>COc1ccc(C(F)(F)C(F)(F)F)cc1[N+](=O)[O-]	highly suspicious. Such reaction remains unknown.
3	COCCN.COCCNc1cc(C(=O)Nc2nnn[nH]2)nc2ccccc12>>O=C(Nc1nnn[nH]1)c1cc(N2CCOCC2)c2ccccc2n1	 Incorrect structure of the product or substrates. Reaction type described by this entry remains unknown.
3	C[Si](C)(C)CO.N#Cc1cccc([N+](=O)[O-])c1C#N.[H-].[Na+]>>COc1cccc(C#N)c1C#N	ok
3	C1CCNC1.CCN1CC(=O)c2ccc3ccccc3c2S1(=O)=O.Cc1ccc(S(=O)(=O)O)cc1>>CCN1C=C(N2CCCC2)c2ccc3ccccc3c2S1(=O)=O	ok
4	CC1(C)C(=O)NC(=O)N1CCN.Fc1ccc(Cc2cncs2)cc1.Fc1cnc(Cl)nc1>>CC1(C)C(=O)NC(=O)N1CCNc1ncc(F)c(-c2ncc(Cc3ccc(F)cc3)s2)n1	multistep or incorrect structure of product or substrates.
4	Nc1cc([N+](=O)[O-])ccc1O.OCCN(CCO)CCO>>O=Cc1ccccc1O	multistep or incorrect structure of product or substrates.
4	CCI.CCOC(=O)c1cc(N)cc(C2=C(c3cc(C(F)(F)F)ccc3OCc3ccccc3)CCC2)c1.CN(C)C=O.O.O=C(O)O.[K+].[K+]>>CCOC(=O)c1cc(C2=C(c3cc(C(F)(F)F)ccc3OCc3ccccc3)CCC2)cc(N(CC)CC)c1	second iodide is missing
4	CC#N.CCOC(C)=O.C[C@H](N)CO.O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1>>O=[N+]([O-])c1ccc(S(=O)(=O)N2CC2)cc1	multistep or incorrect structure of product or substrates.
4	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](N)CC2.O=N[O-].[Na+]>>COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](CO)C2	ok
4	CCOC=O.COC(=O)C(C)CC(N)=O>>CCOC(=O)C(C)CC(=O)OC	multistep
4	CI.S=C=S.[Br-].[Li+].[Li]CCCC.c1ccc(-c2cccs2)cc1>>CSC(=S)c1ccc(-c2ccccc2)s1	ok
4	Cl.Cl.NO.O=CC1=C(Cl)CCN(Cc2ccccc2)CC1>>ON=C=C1CCN(Cc2ccccc2)CCC1Cl	ok
4	CCOC(C)=O.NS(=O)(=O)c1ccccc1-c1ccccc1.S=C=S.[K+].[OH-]>>O=S(=O)(N=C(S)S)c1ccccc1-c1ccccc1	ok
4	CC(C)(C)NS(=O)(=O)c1sccc1Br.CCOC(C)=O.[Cl-].[Li]CCCC.[NH4+]>>CC(C)(C)NS(=O)(=O)c1sccc1C(=O)CCl	Erroneous structure of one of the substrates. In the lit. source ethyl chloroacetate was  used (not the ethyl acetate that is specified in the entry).
4	BrCCBr.CCC1=CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]3[C@H](C)CCCC(C)C)[C@H]12.[Cl-].[Li].[NH4+]>>CC[C@H]1C=C2CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]3[C@H](C)CCCC(C)C)[C@@H]21	ok
4	C=O.CCNCC.CCOP(=O)(CC(=O)O)OCC.Cl.O=CCOc1ccccc1.[Li]CCCC>>O=C(O)C=CC=COc1ccccc1	multistep
4	CC(=O)CCC(=O)O.O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3.OCCc1c[nH]c2ccccc12.SCCc1c[nH]c2ccccc12>>CC1(CCC(=O)O)OCCc2c1[nH]c1ccccc21	ok
4	CS(=O)(=O)Nc1ccc(C(=O)C2CCNCC2)cc1.Cl.O=C(CBr)c1cnc2ccccn12.O=C(O)O.[K+].[K+]>>CS(=O)(=O)Nc1ccc(C(=O)C2CCN(C(=O)Cc3cnc4ccccn34)CC2)cc1	 incorrect structure of the product or substrate.
4	CC(C)NC(C)C.O=C=O.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCO.[Li]CCCC>>C=COS(=O)(=O)C(F)(F)F	incorrect substrate or multistep.
4	CCN(CC)CC.CCOC(C)=O.CS(=O)(=O)Cl.N#Cc1ccc(Oc2ccc(Br)c(COC3CCCCO3)c2)c(CO)c1.O>>N#Cc1ccc(Oc2ccc(Br)c(COC3CCCCO3)c2)c(CNC=O)c1	incorrect substrate or product.  Such reaction remains unknown.
4	C#CC1(OCc2ccccc2F)CCN(C(C)=O)CC1.CO.O.O=S(=O)(O)O>>CC(=O)C1(OCc2ccccc2F)CCNCC1	ok
4	Clc1ccc2c(c1)N=Cc1ccccc1O2.O=C1OC(=O)c2ccccc21>>O=C(O)c1ccccc1C(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21	ok
4	C1CCOC1.CCOC(=O)C1CC1C=O.O=CC=P(c1ccccc1)(c1ccccc1)c1ccccc1>>O=CC=CCCOC(=O)C1CC1	incorrect name in the patent that resulted in the erroneous structure .
4	CCCC1(Br)CCCCC1=O.CN(C)CCN(C)C.C[Si](C)(C)Cl>>CCCC1=C(O[Si](C)(C)C)CCCC1	ok
5	ClC(Cl)Cl.N#CCc1ncc[nH]1.O=C(O)C(F)(F)F>>CCOC(=N)Cc1ncc[nH]1	missing substrate and instead of it reagents are written
5	CO.C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(N)=O.ClCCl.ClCCl>>CCOC(=N)[C@@H](C)Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1	missing substrate and instead of it reagents are written
5	C1CCOC1.COc1ccc(N)c(CO)c1.N#CCOC=O>>COc1ccc(NC=O)c(COC=O)c1	incorrect substrate and missing substrate
5	CCOC(=O)CNCc1c(N)ccc(Cl)c1Cl.N#CBr>>O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1	ok
5	CC(=O)OC(C)=O.O=C(O)O.O=C1O[C@@H](CO)CN1c1cc(F)c(C2=CCN(Cc3ccccc3)CC2)c(F)c1.O=C=O.[Na+]>>CC(=O)O[C@@H]1OC(=O)N(c2cc(F)c(C3=CCN(Cc4ccccc4)CC3)c(F)c2)C1C	multistep or incorrect structure of product or substrates.
5	CC#N.CN(c1ccccc1)c1ccccc1.COC(=O)CCCCCCC(=O)O.[Cl-]>>COC(=O)CCCCCCC(=O)NC(c1ccccc1)c1ccccc1	multistep or incorrect structure of product or substrates.
5	Oc1cccc(-c2ccccc2)c1-c1ccccc1.Oc1ccccc1>>c1ccc2c(c1)COc1ccccc1-2	 Incorrect structure of product or substrates.Reaction type described by this entry remains unknown.
5	Cc1onc(-c2ccccc2)c1C(=O)NN.O.O=C(c1ccc2[nH]c(=O)[nH]c2c1)n1ccnc1.O=P(Cl)(Cl)Cl>>Cc1onc(-c2ccccc2)c1-c1nnc(-c2ccc3[nH]c(=O)[nH]c3c2)o1	ok
5	C1COCCN1.COc1ccc(C#CC(=O)O)cc1OC.O=S(Cl)Cl.c1ccncc1>>COc1ccc(C(Cl)=CC(=O)N2CCOCC2)cc1OC	ok
5	Cl.NC(=O)C(C(=O)O)c1ccccc1S.NC(=O)CC(=O)O>>NC(=O)c1c(O)sc2ccccc12	ok
5	CN1CCCC1=O.N#Cc1ccnc(Cl)c1.OC1CCCCC1.[H-].[Na+]>>N#Cc1cc(OC2CCCCC2)ccn1	 Incorrect structure of product or substrates.Reaction type described by this entry remains unknown.
5	COC(=O)/C=C(/C)N.COC(=O)CC(C)=O.O=Cc1cc(Cl)ccc1COCc1ccccc1>>COC(=O)C1=C(C)NC(C)C(C(=O)OC)=C1c1cc(Cl)ccc1COCc1ccccc1	Incorrect structure of the product.
5	COc1ccccc1.C[C@H](N)C(=O)NCC(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC1=O.O=C1c2ccccc2C(=O)C1(O)O>>C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O	 Incorrect structure of product or substrates.
5	COc1ccc(C(=O)O)c(OC)c1.Cl.O=C(O)O.O=C1CCCCN1.On1nnc2ccccc21.[Na+].[Na+]>>COc1ccc(C(=O)N2CCC(=O)CC2)c(OC)c1	Incorrect stucture of one of the substrates.
5	CC(C)OC(=O)[C@@H](CO)NC(=O)[C@@H](N)CC(=O)O.COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@](N)(CC(=O)O)C(=O)N1CCCCC1>>CC(C)OC(=O)[C@@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H]1CCCN1	 Incorrect structure of product or substrates.Reaction type described by this entry remains unknown.
5	CC(C)CCn1c(Cn2c(=O)[nH]c3ccccc32)nc2cc(C(=N)NO)ccc21.O=C(Cl)Cl>>CC(C)CCn1c(Cn2c(=O)[nH]c3ccccc32)nc2cc(-c3noc(=O)[nH]3)ccc21	ok
5	CC(=O)CCl.CCOC(=O)c1[nH]c(=S)[nH]c1C.O=P(Cl)(Cl)Cl>>CCOC(=O)c1nc2scc(C)n2c1C	ok
5	CC(C)C(=NN)c1cccc([N+](=O)[O-])c1.CCCCCCN1C(=O)C=CC1=O>>CCCCCCN1C(=O)C2N=NC(c3cccc([N+](=O)[O-])c3)(C(C)C)C2C1=O	Incorrect substrate, diazo, instead of hydrazone.
5	CCCCc1nc(=O)c2cc(-c3nnn(C(c4ccccc4)(c4ccccc4)c4ccccc4)n3)ccc2[nH]1.CN1C(=O)C=CC1=O>>CCCCc1nc(=O)c2cc(C3=NN(C(c4ccccc4)(c4ccccc4)c4ccccc4)[C@H]4C(=O)N(C)C(=O)[C@@H]34)ccc2[nH]1	ok
5	CCOC(=O)C(=CNNc1c(Cl)cc(C(F)(F)F)cc1Cl)C(C)=O.O=S(=O)(O)O>>CCOC(=O)c1cnn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1C	ok
6	CC(=O)O.CCN(CC)CCCOc1ccc(NC(=O)c2n[nH]c3c2C(=O)CCC3)cn1.CN(C)C=CC=O.[NH4+].[Na+].[OH-]>>CCN(CC)CCCOc1ccc(NC(=O)c2n[nH]c3c2-c2ncccc2CC3)cn1	ok
6	CO.COC(=O)C(C(=O)OC)C(OCc1ccccc1)=C(C)O.Cl.N=CN.[Na+]>>COC(=O)c1ncnc(O)c1OCc1ccccc1	Incorrect substrate.
6	C#CC(=O)OCC.CC(=O)O.O=C1CC(=O)CC(c2ccccc2)C1.[NH4+]>>O=C1CC(c2ccccc2)Cc2[nH]c(=O)ccc21	ok
6	COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=C1Cc2ccccc2O1>>COC(=O)Cc1cc2ccccc2o1	ok
6	COc1ccc(-c2c[nH]c3ncccc23)cc1OC.Cc1cc(S(=O)(=O)Cl)c2ncccc2c1.ClCCl.[K+].[OH-]>>COc1ccc(-c2cn(S(=O)(=O)c3cccc4cc(C)cnc34)c3ncccc23)cc1OC	Incorrect substrate.
6	C=CC(=O)OC.CC(=O)O.NNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1.[K]>>OC1=NN(c2cc(-c3ccnc(Nc4cccc(Cl)c4)n3)ccn2)CC1	ok
6	C#CC(C)O.C1=COCCC1.[Na+].[OH-]>>C#CCCOC1CCCCO1	Incorrect substrate.
6	CC(C)(C)OC(=O)CCN.COP(=O)(CN[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)OC.N#CCCn1nnnc1CCN>>COP(=O)(CNC(Cc1ccc(-c2ccccc2)cc1)C(=O)N1NN=C(CCN)N1CCC#N)OC	Highly suspicious. Such chemistry remains unknown.
6	CCCn1c(=O)c(C#N)c(Cl)c2ccccc21.COC(=O)NN>>CCCn1c(=O)c2c(N)n(C(=O)OC)nc2c2ccccc21	ok
6	CC=CCC#N.CO.OC1CCCCC1>>N#CCCCCC(=O)OC1CCCCC1	Incorrect substrate, should be carbon monoxide instead of methanol.
6	Cl.Nc1ccccc1-c1cc(C(=O)O)n[nH]1.O.S=C=S.c1ccncc1>>O=C(O)c1cc2c3ccccc3[nH]c(=S)n2n1	ok
6	CCCNCCC.COC=CCCc1ccc2cc(O[Si](C)(C)C(C)(C)C)ccc2c1.O.[BH3-]C#N.[Na+]>>CCCN(CCC)CCCCc1ccc2cc(CO)ccc2c1	 Incorrect structure of the product or one of the substrates.Such reaction remains unknown
6	CCOC(=O)C(C#N)CC#N.Nc1c(Cl)cc(OC(F)(F)F)cc1Cl.O=N[O-].O=S(=O)(O)O.[Na+]>>N#Cc1cc(N)n(-c2c(Cl)cc(OC(F)(F)F)cc2Cl)n1	ok
6	CCC(C)COC(=O)C1(O)C=CC(c2ccccc2)=CC1.CCCCCCCCCCCC(Br)Br.O=C(O)O.[K+].[K+]>>CCC(C)COC(=O)c1ccc(-c2ccccc2)cc1	ok
6	C1CCOC1.C1CO1.COc1ccc(NC(=O)C(C)(C)C)cc1.[Li]CCCC>>COc1cccc(NC(=O)C(C)(C)C)c1CCO	multistep or incorrect structure of product or substrates.Such chemistry remains unknown.
6	CC(=O)OC(C)=O.NNC(=S)NN.Nn1c(S)nnc(C(=O)O)c1=O.O.O=C(O)C(=O)C(=O)O>>CC(=O)Nn1c(S)nnc(C(=O)OC(C)(C)C)c1=O	missing substrate; multistep
6	CC(=O)OC(C)=O.CCC(=O)OC(=O)CC.CCCCCC=CC(C)=O.O=C1C=CCCCCCCCCCCCC1>>CCCCCC(C)C=C(C)OC(=O)CC	missing substrate
6	O=C(O)c1cccnc1Cl.Oc1ccccc1.Oc1ccccc1>>O=c1c2ccccc2oc2cccnc12	Incorrect structure of the substrate (should be 3-chloropyridine-2-carboxylic acid instead of 2-chloropyridine-3-carboxylic acid)
