template	popularity	first_year
C=N>>C=O.N	1220	1976
CN>>CO.N	1216	1976
[1C]CC=O>>C[1C].O=CO	1177	1976
O=CI>>O=CI.O=CO	1124	1976
[4C]N>>CN[4C]	1094	1976
NC(N)=S>>N.N=C=S	1084	1976
cc(n)I>>O=P(I)(I)I.cc(n)=O	1032	1976
[2C][N+]>>N.[2C]I	1032	1976
C>>C=O	1003	1976
C#N>>NC=O	1002	1976
CN[4C]>>CO.[4C]N	977	1976
CI>>CO.IC(I)(I)I	973	1976
c[2C]>>[2C]B(O)O.cI	957	1999
C=C>>CCO	957	1976
nS(=O)=O>>O=S(=O)I.n	954	1976
C=C>>C=O.C[P+]	954	1976
C>>CO	930	1976
cc(c)O>>O.cc(c)O	911	1976
C=C[1C]>>C=O.[1C]CP(=O)(O)O	908	1976
n>>n[SH](=O)=O	907	1979
[2C][n+]>>[2C]I.n	896	1976
Nc(n)n>>N.nc(n)[SH](=O)=O	888	1976
[1C]CCO>>C=O.C[1C]	877	1976
cC#N>>CN(C)C=O.cI	876	1976
COC=O>>CO.OC=O	859	1976
cc(n)I>>[4C]NI.ccn	857	1980
cc(N)n>>N.cc(n)F	857	1979
O=CNC=O>>N.O=COC=O	853	1976
c-c>>cI.cI	852	1976
[n+][O-]>>OOC=O.n	840	1976
NC=O>>NC(=O)O.O=CO	836	1976
cc(n)I>>O=P(I)(I)I.cc(n)O	835	1976
cc(c)C=O>>O=CO.ccc	817	1976
c1ncon1>>NC=NO.O=CO	813	1986
c1:[2C]:scn1>>NC=S.O=C[2C]I	809	1976
[1C]CI>>C[1C].II	805	1976
C#C>>C#C[Si]	803	1976
Nc1nc:[2C]:s1>>NC(N)=S.O=C[2C]I	801	1976
Cn>>CO.n	797	1976
C=C([1C])[1C]>>C=O.[1C]C[1C]	790	1976
CC>>C#C	788	1976
NC(N)=O>>N.N.O=C(O)O	772	1977
NC(O)=O>>N=C=O.O	770	1976
COCO>>C=O.CO.O	749	1976
cC=O>>NC=O.cI	746	1976
CI>>CO.IP(I)I	724	1976
[1C]CCN>>C=C[1C].N	723	1976
c1nnnn1>>C#N.[N-]=[N+]=[N-]	722	1976
NC=S>>NC=O.S=[PH](S)S	719	1982
cc(n)=O>>cc(n)OC	691	1976
cB(O)O>>COB(O)OC.cI	682	1989
NC(O)=O>>N.O.O=C(O)O	678	1976
C=CN>>C=CO.N	674	1976
cc1ncnc1c>>O=CO.cc(N)c(c)N	670	1977
[2C]N[2C]>>N.[2C]I.[2C]I	659	1976
NC(=S)NC=O>>N.O=CN=C=S	659	1976
c-n>>cB(O)O.n	658	2002
cNN>>NN.cI	658	1976
cC#N>>N#C[Cu].cI	656	1977
[2C]I>>[2C]I.[I-]	653	1976
cc1nc:[2C]:n1>>O=C[2C]I.cc(N)n	642	1976
[2C]CO>>C=O.[2C]I	638	1976
CF>>CO.NS(F)(F)F	629	1976
cc(c)C=O>>NC=O.ccc	628	1976
C=O>>O=CO	623	1976
cC=O>>O=CNO.cI	620	1989
O.O>>OCO	619	1976
NC=O>>N.NC=O	615	1976
[3C]O>>O.[3C]I	611	1976
cc(c)-n>>cc(c)F.n	606	1976
NC=O>>C#N.OO	606	1976
C=C([1C])S>>C=O.[1C]CS	581	1976
cc(c)CO>>C=O.ccc	577	1976
C=C>>C=O.C=P	571	1976
OC(O)=O>>O.OC(=O)I	570	1976
[4C]NC=O>>O=CI.[4C]N	569	1976
O=c1ncno1>>C#N.O=C(O)O.[N+]O	568	2010
C[1C]>>[1C]CC(=O)O	552	1976
cC=C>>C=C[Sn].cI	544	1990
cc(c)[2C]>>[2C]I.ccc	542	1976
cCO>>C=O.[Li]c	539	1976
n>>nC(=O)O	533	1976
cc(c)[N+](=O)[O-]>>O=[N+]([O-])[O-].ccc	521	1976
c1ncon1>>N=CNO.O=CO	518	1991
cC=C>>C=CI.cB(O)O	515	1994
[2C]C=O>>O=CNO.[Li][2C]	513	1993
OCCO>>C1CO1.O	513	1976
CN>>C=N	508	1976
NC=O.OC=O>>N.O=COC=O	506	1976
O=S>>OO.S	500	1976
O=S=O>>OOS(=O)[O-].S	492	1986
cc1ccnc1c>>CC=O.ccc(c)NN	492	1976
cc(c)N>>N.cc(c)O	491	1976
NC=O>>O=CO.O=[N+][O-]	481	1977
c1cnnc1>>NC=CC=O.NN	478	1976
C=N>>C=O.NC(=O)O	466	1977
C1CO1>>C=C.OOC=O	457	1976
Nc(n)n>>N.nc(n)[SH]=O	456	1976
c1cnnc1>>NN.O=CCC=O	452	1976
NC=NO>>C#N.NO	452	1976
Nc(n)n>>N.nc(n)S	451	1976
NC(N)=O>>N.N.O=C(O)I	449	1979
nC(O)=O>>OC(=O)OC=O.n	447	1976
c-c(c)c>>BOc(c)c.cI	445	1989
[2C]NC=O>>N.O=CO.[2C]I	445	1980
cc(c)I>>I.cc(c)N	443	1976
NNC=O>>NN.O=CI	442	1976
CN>>C=NO	441	1976
cc(n)O>>O.cc(n)F	440	1978
NC(N)=O>>N.N.nC(n)=O	440	1976
nCCO>>C1CO1.n	439	1977
c1cnnn1>>C#C.N=[N+]=[N-]	435	1978
CC(O)O>>C=CO.O	434	1976
NC(O)=O>>NC(=O)I.O	433	1976
C=C>>C.C=O	431	1976
NC=O>>NC=O.O=CO	426	1976
C[2C]>>C.[2C]I	423	1976
c[2C]>>[2C]I.cI	417	1976
[2C][P+]>>P.[2C]I	416	1976
CO>>CO[SH](=O)=O.O	415	1976
cc(c)S>>S.cc(c)F	411	1977
NC(N)=N>>N.NC(=N)S	409	1976
NC(O)=O>>N.OC(=O)O	408	1976
CS>>CO.S	407	1976
NO>>CON	404	1977
Cc(c)c>>CO.ccc	400	1976
Cc>>C[Zn+].cI	399	2002
cc(n)I>>II.ccn	399	1976
[1C]C=CN>>C[1C].NC(O)O	398	1976
COC=O>>OC=O.[N-]=[N+]=C[Si]	397	1993
cc1ncnc1c>>C=O.cc(N)c(c)N	390	1977
CNC=O>>C=O.N.O=CO	389	1976
cc(c)I>>O=P(I)(I)I.cc(c)O	386	1976
CI>>CO.I	380	1976
N=CNO>>C#N.NO	379	1979
nC=O>>O=CI.n	379	1976
COC=O>>C=[N+]=[N-].OC=O	376	1976
CN>>NC(=O)O	370	1976
cC[1C]>>C[1C].cI	367	1976
OS(=O)=O>>O.[4C]NS(=O)=O	365	1993
OC=O>>C#N.CO.[O-]	364	1976
cc(s)I>>[4C]NI.ccs	359	1986
S>>O=CS	346	1976
CI>>CO.II	345	1977
cO>>O.cB(O)O	343	2001
C=NO[2C]>>C=NO.[2C]I	343	1977
CCO>>C=C.OO	343	1976
NC(=N)S>>N.N=C(S)S	342	1977
[4C]N>>[4C]NC(=O)O	338	1977
CN>>C=O.[N+]	338	1976
[3C]N>>N.[3C]I	333	1976
N>>CNC	331	1976
C=C[1C]>>C=O.[1C]CC(=O)O	331	1976
nc(n)O>>O.nc(n)[SH](=O)=O	329	1979
cc(c)CN>>C=O.N.ccc	327	1976
[2C]P(O)(O)=O>>COP(O)O.[2C]I	327	1976
[1C]C=CN>>N.[1C]CC=O	323	1976
NC(O)=O>>N.NOC(O)=O	321	1978
cc1c(c)NCC1>>cc1ccnc1c	321	1976
nNC=O>>Nn.O=CO	319	1985
C=NS=O>>C=O.NS=O	318	2002
NC=O>>N.NOC=O	318	1976
NC=N>>N.N=CO	317	1976
OC=O>>C#N.O.[O-]	313	1976
[2C]SC(N)=N>>NC(N)=S.[2C]I	312	1976
N[2C]C(N)=O>>N.N.O=C(I)[2C]I	310	1986
ccc>>cc(c)C(=O)O	309	1976
c1ccnc1>>N.O=CCCC=O	309	1976
[2C]>>[2C]I	309	1976
NC=O>>C#N.OS(=O)(=O)O	309	1976
C#CCO>>C#C.C=O	309	1976
cc(c)I>>[I-].cc(c)N	307	1976
[1C]C([2C])N>>[1C]CN.[2C]I	306	1976
NS(N)(=O)=O>>N.NS(=O)(=O)I	304	1976
OCC(F)(F)F>>C=O.FC(F)(F)[Si]	301	1989
NN>>N.O=N[O-]	295	1976
NC(=O)NC=O>>N.O=CN=C=O	294	1977
[4C]NC(O)=O>>OC(=O)OC=O.[4C]N	290	1983
CI>>CO.O=[SH](=O)I	289	1978
c[2C]>>[2C][Sn].cI	288	1989
cc(c)S(=O)(=O)I>>OS(=O)(=O)I.ccc	287	1976
Nc1ncccn1>>NC(N)=N.NC=CC=O	286	1984
c1nnco1>>O=CNNC=O	286	1980
cC#N>>CC(=O)N(C)C.cI	285	1976
NC=N>>C#N.N	285	1976
cc(c)O>>O.cc(c)[N+](=O)[O-]	283	1976
C=NNC=O>>C=O.NN.O=CO	281	1976
C=C>>C#C	281	1976
c1cnoc1>>C#C.ON=CI	279	1996
ONC=O>>NO.O=CI	279	1976
NC=O>>C#N.[O-]	279	1976
CN>>N.O=CO	278	1977
c[2C]>>[Li][2C].cI	277	1983
[1C]C1=CNC=C([1C])C1>>C=O.[1C]C=CN.[1C]CC=O	275	1976
NC=O.O>>N.OC=O	273	1976
CC=O>>C=COC	273	1976
C=C>>C=O.CP(=O)(O)O	272	1976
C1CCNCC1>>c1ccncc1	271	1976
N>>N[SH](=O)=O	270	1977
CN=[N+]=[N-]>>CO.[N-]=[N+]=[N-]	270	1977
cc1ncnc1c>>cc(N)c(c)NC=O	268	1986
NC(O)=O>>CN.OC(=O)I	267	1976
N=CO>>C#N.O	267	1976
CI>>CO.[4C]NI	265	1977
NO>>NOCO	263	1976
cc1ncnc1c>>OC(O)O.cc(N)c(c)N	261	1979
[2C]SC=O>>OC=S.[2C]I	259	1976
cc(n)O[2C]>>[2C]I.cc(n)=O	256	1977
N=C=S>>N.S=C(I)I	255	1976
[1C]C([2C])[2C]>>C[1C].[2C]I.[2C]I	254	1978
NN>>NNC(=O)O	252	1976
[n+][O-]>>OO.n	251	1976
[2C]Sc(n)n>>[2C]I.nc(n)=S	250	1976
cS(=O)=O>>O=S[O-].cI	248	1977
CCO>>C.C=O	247	1976
cc1ncnc1n>>O=CO.cc(N)c(N)n	246	1977
C=C[1C]>>[1C]CCO	245	1976
CN>>CN.N	244	1976
OC=O>>C=O.OP(=O)(O)O	243	1990
[1C]CCn>>C=C[1C].n	242	1976
[1C]CCC[1C]>>C=C[1C].C[1C]	242	1976
Nc1ccnn1>>N#CCC=O.NN	239	1977
cc(n)CN>>C=O.N.ccn	239	1976
C=O>>O=CNO	238	1992
cC([1C])[1C]>>[1C]C[1C].cI	238	1976
N>>C=N	236	1976
[1C]C=CO>>C[1C].O=CO	235	1976
[4C]NS(=O)=O>>O=S(=O)I.[4C]N	233	1976
cN>>[N+].cI	231	1976
NS(=O)=O>>N.O=S(=O)O[SH](=O)=O	231	1976
C=C>>C=O.CCO	229	1980
cC#C>>C#C[Si].cI	228	1988
NC(=O)NS(=O)=O>>N.O=C=NS(=O)=O	228	1977
[4C]NC(N)=O>>N=C=O.[4C]N	228	1976
c-c(c)n>>cI.ccn	227	1985
CNC(O)=O>>CC(=O)O.O.[N-]=[N+]=NP=O	226	1981
OP=O>>COP=O	226	1978
NC(N)=O>>N.N#CO	226	1976
C>>CC	226	1976
cC(O)=O>>O=C=O.cI	225	1981
OCO>>C=O.O.O	225	1976
C=C([1C])O>>C=O.[1C]CO	225	1976
OC=O.OC=O>>O.O=COC=O	220	1976
O[Si]>>O.O=[SH](=O)O[Si]	218	1987
c1ccccc1>>c1ccccc1.c1ccccc1	218	1976
NC=S>>NC=O.S=P(S)(S)S	217	1976
cc(c)I>>[I-].ccc	216	1976
[3C]n>>[3C]I.n	214	1976
[1C]CC(O)=O>>C[1C].OC(=O)O	214	1976
NC(N)=O>>N.N.O=C(I)I	214	1976
COC=O>>O=C(O)O.OC=O	214	1976
[2C]n>>Cn.[2C]I	212	1981
CN=[N+]=[N-]>>CO.[N-]=[N+]=NP=O	211	1991
cc(n)CO>>C=O.ccn	211	1976
[4C]NCN>>C=O.N.[4C]N	211	1976
cc(=O)n[2C]>>[2C]I.cc(n)O	210	1980
cc(n)C=O>>O=CI.ccn	208	1976
CCc>>C=C.cI	207	1992
C=O>>C=C.O=[O+][O-]	206	1983
NC=N>>N.NC=O	205	1976
ccc>>cc(c)N	204	1976
S>>CS	204	1976
NC=N>>C#N.[N+]	203	1984
cc(N)n>>N.cc(n)N	202	1976
[1C]CCS>>C=C[1C].S	202	1976
C=[3C]>>C=O.I[3C]I	202	1976
c[2C]>>[2C]I.cB(O)O	201	1997
CO>>CCO	200	1976
C=CO>>C=O.OC[P+]	197	1983
nc(n)I>>O=P(I)(I)I.nc(n)=O	197	1978
[4C]NC(N)=O>>NC(=O)O.[4C]N	197	1976
N=C=O>>N.O=C(I)I	196	1976
cc(s)I>>II.ccs	195	1976
c1:[2C]:ocn1>>NC=O.O=C[2C]I	194	1986
cc(c)I>>O=S(=O)(I)I.ccc	194	1976
[1C]CI>>C[1C].[I-]	194	1976
NC(O)=O>>NC(=O)O.O	192	1978
O=COC=O>>O=CO.OC=O	192	1976
NOC=O>>NO.O=CO	190	1976
CCn>>C=C.n	189	1983
C=C([1C])N>>C=O.[1C]CN	189	1977
NC(n)=O>>N=C=O.n	189	1976
c1nnnn1>>C#N.[N-]=[N+]=N[Sn]	188	1984
cc(c)S(=O)(=O)I>>O=S(=O)(O)I.ccc	188	1976
cc(N)n>>N.cc(n)O	188	1976
[2C]ON>>NO.[2C]I	188	1976
NS(=O)=O>>NC(=O)O.O=S(=O)I	187	1995
cc(c)NC(O)=O>>O.[N-]=[N+]=NP=O.cc(c)C(=O)O	187	1993
[1C]CI>>C[1C].[4C]NI	185	1978
cc1cncn1>>cc(n)CNC=O	185	1977
c[Sn]>>[Sn]I.cI	184	1979
[2C]C=O>>O=CO.[Li][2C]	183	1976
Cn>>CO[SH](=O)=O.n	183	1976
C=C([1C])N>>C=C([1C])I.N	183	1976
CNC>>C=O.N.[BH3-]C#N	182	1976
cc1nc(N)nc1c>>N=C=S.cc(N)c(c)N	181	1989
cN>>NC(=O)O.cI	181	1989
ccc>>cc(c)O	181	1976
cc(c)O>>O=N[O-].cc(c)N	181	1976
NS(=O)=O>>N.O=S(=O)O	180	1976
cc1cNC=C([1C])C1>>C=O.[1C]CC=O.cccN	179	1986
CN>>C=O.NC(=O)O	179	1986
cC=O>>O=CO.cI	179	1976
[2C]n.[n+]>>[2C]I.n.n	179	1976
OC=O.cc(c)C=O>>O=COC=O.ccc	179	1976
N.O>>NC(O)=O	179	1976
CO>>COC=O	179	1976
cC=O>>O=CNO.[Li]c	178	1992
cc1ncnc1c>>O=CI.cc(N)c(c)N	178	1987
[2C]NN>>NN.[2C]I	178	1980
cc(n)C=O>>NC=O.ccn	178	1977
nc(n)I>>[4C]NI.ncn	178	1976
CC=O>>C.O=CO	177	1977
O=S=O>>OOC=O.S	177	1976
C=Cc(c)c>>CC=O.ccc	176	1979
cc(c)C(O)=O>>O=C=O.ccc	176	1976
O=CNC=O>>N.O=CO.O=CO	176	1976
cc(c)[2C]=O>>CO[2C](I)I.ccc	175	1976
cI>>[I-].cI	174	1986
c1nnnn1>>C#N.[N-]=[N+]=N[Si]	174	1984
C#N>>C=O.NO	174	1976
cc1ncnc1n>>C=O.cc(N)c(N)n	173	1989
CCN>>C=CN	173	1976
NC=N>>N.N=CS	172	1976
CCc(c)c>>C=C.ccc	172	1976
cC#N>>N#C[Cu]C#N.cI	171	1977
NC=N>>N.NC(O)O	171	1977
[4C]NC(O)=O>>OC(=O)I.[4C]N	171	1976
[1C]CCN>>C=O.C[1C].N	171	1976
[1C]C([1C])C=O>>O=CI.[1C]C[1C]	171	1976
CO>>C=[N+]=[N-].O	170	1976
ccc>>cc(c)C	169	1976
c-c(c)c>>cB(O)O.cc(c)-c(c)c	167	1997
c1nnco1>>NNC=O.O=CO	166	1992
c1ccnc1>>N.OC1CCC(O)O1	166	1976
NC=N>>N.NC=S	166	1976
NC(N)=N>>N.NC#N	166	1976
cc1ncnc1n>>C=O.cc(c(N)n)[N+](=O)[O-]	165	2011
CC(c)=O>>C=C([Sn])OC.cI	165	1996
NC(O)=O>>N.O.nC(n)=O	165	1984
C=Cn>>C=CI.n	165	1980
C[1C]>>[1C]CO	165	1976
CI>>C.II	165	1976
CCO>>C=C.O	165	1976
[2C]N>>NC(=O)O.[2C]I	164	1981
cc1ncoc1c>>cc(O)c(c)NC=O	164	1976
cc(n)I>>O=P(I)(I)I.cc[n+][O-]	164	1976
[2C]NC=N>>NC=N.[2C]I	163	1976
cc(N)c(c)C(N)=O>>N.cc1nc(=O)oc(=O)c1c	162	1977
cc1nnc(N)c1c>>NN.cc(F)c(c)C#N	161	2004
C=C>>C=O.CCC	161	1979
cc1ncnc(=O)c1c>>C=O.cc(N)c(c)C(N)=O	160	2002
COCO>>C=O.COC(O)O	160	1977
[4C]NC=O>>O=COC=O.[4C]N	160	1976
c-c(c)c>>cI.cc(c)-c(c)c	159	1984
cc(n)O>>O.cc(n)O	159	1978
ccn>>cc(n)C(=O)O	159	1977
C=C>>C=C.C=C	158	1984
cc1cnnc(=O)c1c>>NN.cc(C=O)c(c)C(=O)O	158	1983
O>>OC(=O)O	158	1976
cc1scnc(=O)c1c>>C#N.cc(S)c(c)C(=O)O	157	2004
OCO>>O.O.OCO	157	1977
[2C]O>>CO.[2C]I	157	1976
cc(N)n>>N.cc(n)=O	155	1978
N=CNC=O>>NC=N.O=CO	155	1976
C=O>>C.O=[Se]=O	155	1976
NC(=O)[2C]O>>N.O.O=C(I)[2C]I	153	1985
c1cocn1>>O=CCNC=O	153	1978
cc(c)C=O>>O=COC=O.ccc	153	1976
cc(c)C=N>>NC=O.ccc	153	1976
OC=O>>NC=O.[O-]	153	1976
NC=S>>C#N.S	153	1976
cC=C>>C=C[B-](F)(F)F.cI	152	2006
c-c(c)s>>cI.ccs	152	1992
NC=O>>NC(=O)O.O=CI	152	1985
[1C]C([1C])=NN>>N.O=N[O-].[1C]C[1C]	152	1976
n>>[n+][O-]	151	1976
NNC(N)=O>>N=C=O.NN	151	1976
C=[2C]>>C[2C]I	151	1976
cS>>SS.cI	150	1977
cc1ncoc1c>>O=CO.cc(N)c(c)O	149	1976
cF>>[F-].cI	149	1976
[2C]nc(=N)s>>Nc(n)s.[2C]I	149	1976
NC(n)=O>>NC(=O)I.n	149	1976
cc(N)n>>N.cc(n)S	148	1981
cc(N)n>>N.cc(n)[SH]=O	148	1980
cO>>[O-].cI	148	1977
[1C]CC=O>>O=CO.[1C]CC(=O)O	147	1985
N>>CNC(=O)O	147	1978
cc(s)CO>>C=O.ccs	147	1976
[1C]C=O>>[1C]CO	147	1976
nC(O)=O>>OC(=O)I.n	146	1976
ccccc>>ccccc.ccccc	146	1976
[1C]CC=O>>C[1C].O=CI	146	1976
O=S>>S.[O-][I+3]([O-])([O-])[O-]	146	1976
cN=C>>C=N.cI	145	2001
cC(=C)[1C]>>C=C([1C])I.cB(O)O	145	1996
C=CN>>CC=O.N	145	1976
N>>NS=O	144	2007
Cc(c)c>>C=O.ccc	143	1976
Cc>>C[Zn].cI	142	2001
Cc(c)cO>>COccc	142	1976
cN>>N.cB(O)O	141	2001
CC(n)O>>C=CO.n	141	1981
N=CO>>NC=O.O	141	1976
COC=O>>COC=O.OC=O	141	1976
C#N>>C=NO	141	1976
c-c(c)c>>cI.ccc	140	1976
cC(=C)O>>C=C(O)[Sn].cI	139	1995
ncn>>nc(n)S	139	1976
N=CNC=O>>NC=N.O=CI	139	1976
CC>>CC.CC	139	1976
NCC#N>>C=O.N.N#C[Si]	138	1997
cc1ncccn1>>O=CCC=O.cc(N)n	138	1978
ccnc(c)=O>>N.ccoc(c)=O	137	1976
NC=N>>N=CNC(=O)O	137	1976
CCN>>C=C[N+](=O)[O-]	137	1976
CNO>>C=NO	136	1981
NO>>ON(C=O)C=O	136	1977
nc(n)CO>>C=O.ncn	136	1976
CCN>>C=C.N	136	1976
C=C(N)N>>C=C(N)S.N	136	1976
N>>N[SH]=O	135	2003
[1C]CCO>>C=C[1C].O	135	1976
CI>>CO.[I-]	135	1976
C=O>>OCCO	135	1976
cc(c)S>>SS.ccc	134	1982
C=O>>C=C.[O-][I+3]([O-])([O-])[O-]	134	1976
C1CC1>>C=C.C=[N+]=[N-]	134	1976
c1ncon1>>NC=NO.O=CI	133	1976
OC=O>>C#N.OC=O	133	1976
NC=CC(O)=O>>N.OC=CC(=O)O	133	1976
NC(N)=N>>N.NC(=N)n	132	1986
cc1ncccn1>>NC=CC=O.cc(N)n	132	1979
C#CCO>>C=O.[Li]C#C	132	1976
cc(c)B(O)O>>COB(O)OC.ccc	131	1992
CC([1C])S>>C=C([1C])S	131	1987
n>>nC=O	131	1977
[2C]SC(N)=S>>N.S=C=S.[2C]I	131	1976
O=S=O>>OO.S	130	1976
NC(N)=O>>N.NC(N)=O	130	1976
CC(=O)CC(N)=O>>C=C1CC(=O)O1.N	130	1976
C=O>>C#N.O=CO	130	1976
OCCO>>C=C.O.[N+][O-]	129	1986
c1:[2C]:ncn1>>NC=N.O=C[2C]I	129	1977
[5C]N>>[5C]NC=O	129	1976
NC=O>>CN.O=CO	129	1976
CS>>COC=O.S	129	1976
CN>>C=O.CN	129	1976
C1CCCCC1>>c1ccccc1	129	1976
C#C[2C]>>C#C.[2C]I	129	1976
OC=O>>C=O.O	128	1980
NS(O)(=O)=O>>NS(=O)(=O)I.O	128	1977
C1CON=C1>>C=C.C=NO	127	1981
C=CCO>>C=O.[Li]C=C	127	1976
NC(O)=O>>CN.OC(=O)OC=O	126	1991
cc1ccnc1c>>cc1c(c)NCC1	126	1977
OCCS>>C1CO1.S	126	1976
N>>[CH]N	125	1994
cc(N)n>>[N+].ccn	125	1985
C1C[2C]1>>C=C.I[2C]I	125	1976
C1CCC=CC1>>C=C.C=CC=C	125	1976
c1ncon1>>N=CNO.O=CI	124	1992
NC(O)=O>>N.O.O=C(I)I	124	1978
N=[N+]=[N-]>>N.[N-]=[N+]=[N-]	124	1976
NC(N)=O>>N.O=C=N[Si]	123	1988
nNC=O>>Nn.O=CI	123	1980
cN=[N+]=[N-]>>[N-]=[N+]=[N-].cI	123	1976
[1C]CCC([1C])[1C]>>C=C[1C].[1C]C[1C]	123	1976
cc(s)C=O>>NC=O.ccs	122	1977
c-c.n>>cB(O)O.cI.nC(=O)O	121	2002
[4C]N>>[4C]NCO	121	1980
cc(c)I>>O=P(I)(I)I.cc(c)=O	121	1979
nCO>>OCOC=O.n	121	1978
C=C>>CC	121	1976
C=COS(=O)=O>>CC=O.[4C]NS(=O)=O	120	1994
OC=O>>CO.O=[Cr](=O)=O	120	1977
nc(n)I>>II.ncn	120	1976
NC=O>>CN(C)C=O.O=CO	119	1979
O>>O[SH](=O)=O	119	1976
NC(O)=O>>N.O.O=C(O)I	119	1976
O=C1NCC=CN1>>C=O.CC=O.NC(N)=O	118	2014
OC=O>>C=O.[O-][I+][O-]	118	1984
O=c1ccncn1>>NC=N.O=CCC(=O)O	118	1983
COC=O>>CC(=O)I.OC=O	118	1980
Nc(n)n>>N.nc(n)N	117	1993
N=C=S>>N.nC(n)=S	117	1988
cc([2C])n>>[2C]I.ccn	117	1977
NC#N>>N.N#CI	117	1977
CNC=O>>C#N.O=CO	117	1976
cc(s)C=O>>O=CI.ccs	116	1977
[2C]S(=O)=O>>O=S[O-].[2C]I	116	1976
cB(O)O>>OB(O)O.cI	115	1999
NC=N>>N=CNC=O	115	1978
C1CO1>>C=O.C[S+]=O	115	1977
ccc>>cc(c)F	115	1976
[2C]n.cc(c)=O>>[2C]I.cc(c)O.n	115	1976
NC=O>>N.O=CC(I)(I)I	115	1976
NC(N)=N>>N.NC(N)=S	115	1976
CNC>>CNC.CNC	115	1976
[1C]C1CCNC1>>C=C[1C].OCNC[Si]	114	1992
CCOC=O>>C=C.OC=O	114	1977
[4C]NCO>>C=O.[4C]N	114	1976
[4C]N>>[4C]NC=O	114	1976
OC=O>>C=O.[O-]	114	1976
cc1cnnc1>>NN.cc(C=O)cI	113	1977
NCO>>NC=O	113	1977
CC>>C.CC	113	1976
c[2C]>>[2C][B-](F)(F)F.cI	112	2010
OCO>>O.OCO	112	1976
O=CS>>O=CO.S	112	1976
NC=N>>N=CO.[N+]	112	1976
CON>>CO.NO	112	1976
[1C]C=CO>>C[1C].OC=O	111	1984
[1C]C1CC1>>C=C[1C].C[S+]=O	111	1978
OC=O>>OO.[4C]NC=O	110	1995
cc1cnnc1c>>NN.cc(F)c(c)C=O	110	1987
